restaurant_id,rest_name,category ,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
1,varius integer,French,expensive,staten_island,3:54 AM,3,false
2,congue eget,Korean,cheap,staten_island,3:19 PM,3,true
3,tellus nulla,Greek,expensive,bronx,3:29 AM,2,false
4,id pretium iaculis,Italian,medium,brooklyn,3:19 AM,1,true
5,mattis,African,medium,manhattan,12:15 AM,1,true
6,metus sapien,French,medium,staten_island,11:49 PM,5,false
7,integer aliquet massa,Indian,expensive,manhattan,5:21 PM,4,true
8,est,Greek,expensive,bronx,7:10 PM,4,true
9,magna bibendum imperdiet,Vietnamese,medium,brooklyn,9:39 PM,1,true
10,accumsan tortor,Thai,cheap,bronx,8:05 AM,3,true
11,primis,Caribbean,medium,bronx,8:37 PM,3,true
12,luctus cum,Vegan,expensive,staten_island,1:38 PM,1,false
13,in,Caribbean,expensive,bronx,7:27 PM,2,true
14,cursus urna ut,Vietnamese,medium,brooklyn,12:42 AM,1,false
15,lorem integer,Mediterranean,medium,bronx,2:08 AM,1,true
16,a feugiat,Vegetarian,medium,queens,6:54 AM,1,true
17,fermentum justo nec,Vegan,expensive,staten_island,5:32 PM,3,true
18,integer,African,cheap,bronx,12:59 PM,1,false
19,orci vehicula condimentum,American,expensive,staten_island,3:32 AM,4,true
20,mi,Vietnamese,expensive,staten_island,4:41 AM,4,false
21,tellus,Indian,medium,brooklyn,3:34 PM,1,true
22,vestibulum,French,cheap,bronx,1:40 PM,4,true
23,in faucibus orci,Vietnamese,expensive,bronx,3:26 AM,1,true
24,ut,Brazilian,medium,brooklyn,2:37 AM,5,false
25,curae,American,medium,brooklyn,8:49 PM,2,false
26,blandit,African,expensive,staten_island,8:22 AM,4,false
27,quis turpis sed,Spanish,medium,brooklyn,4:15 PM,3,true
28,mauris non ligula,Thai,cheap,brooklyn,12:50 AM,3,false
29,faucibus orci,Vegetarian,expensive,queens,7:26 AM,5,true
30,ut nunc vestibulum,Mexican,medium,bronx,8:18 PM,5,true
31,interdum venenatis turpis,Mexican,cheap,brooklyn,7:55 PM,2,true
32,ultrices posuere,American,expensive,staten_island,1:58 PM,3,false
33,id,Spanish,cheap,brooklyn,1:14 AM,4,true
34,id nulla ultrices,Vegan,medium,queens,8:33 PM,1,false
35,turpis,Mexican,expensive,staten_island,6:29 AM,1,false
36,nisi,Vegetarian,expensive,staten_island,10:36 AM,5,true
37,odio donec vitae,Brazilian,medium,brooklyn,11:07 AM,5,true
38,lectus,Italian,cheap,bronx,6:41 AM,1,false
39,curae duis,Japanese,expensive,queens,3:07 AM,3,false
40,mi,Fusion,expensive,bronx,10:16 PM,3,true
41,nunc vestibulum,Korean,cheap,manhattan,1:01 PM,2,true
42,ante vivamus tortor,Vietnamese,cheap,brooklyn,9:18 PM,2,false
43,nisl duis ac,Mediterranean,expensive,bronx,6:27 PM,2,true
44,justo etiam,Spanish,medium,brooklyn,9:08 PM,3,false
45,in porttitor pede,Chinese,cheap,brooklyn,12:40 AM,3,false
46,ipsum ac,Korean,cheap,staten_island,1:31 AM,1,false
47,et,American,cheap,manhattan,2:16 AM,2,false
48,sit,Korean,expensive,manhattan,3:59 PM,3,true
49,rutrum rutrum,Caribbean,cheap,queens,9:57 PM,4,false
50,non,American,expensive,bronx,10:07 AM,4,true
51,quis,French,medium,manhattan,8:39 AM,5,false
52,eget nunc donec,Spanish,cheap,manhattan,7:34 PM,2,true
53,nec nisi vulputate,Indian,medium,manhattan,7:22 AM,1,false
54,in,Spanish,medium,brooklyn,2:25 AM,2,true
55,aliquet,Mediterranean,expensive,bronx,5:42 PM,1,false
56,ipsum primis,African,expensive,staten_island,4:45 PM,4,false
57,mauris,Indian,cheap,bronx,6:21 AM,5,false
58,maecenas leo,Caribbean,cheap,bronx,6:59 PM,5,false
59,in,Japanese,cheap,staten_island,6:10 PM,5,false
60,curabitur gravida,Indian,medium,manhattan,3:39 AM,4,false
61,amet,Brazilian,medium,bronx,5:40 AM,1,true
62,ac nulla,Thai,expensive,queens,9:05 AM,4,false
63,vestibulum ante,Caribbean,medium,manhattan,2:56 PM,1,true
64,nibh ligula nec,Vietnamese,cheap,manhattan,11:30 AM,3,false
65,amet justo,Korean,expensive,manhattan,1:33 AM,5,false
66,nullam porttitor lacus,Vietnamese,medium,staten_island,5:12 PM,4,true
67,blandit ultrices enim,French,cheap,bronx,3:51 AM,4,false
68,adipiscing molestie,Fusion,cheap,bronx,6:32 PM,2,false
69,nulla elit ac,Vegetarian,cheap,staten_island,12:46 PM,5,true
70,ac,Middle Eastern,cheap,brooklyn,9:47 PM,1,false
71,pellentesque quisque porta,French,medium,bronx,1:14 PM,2,false
72,semper,Vegetarian,medium,manhattan,4:15 AM,5,false
73,metus,Italian,medium,staten_island,9:23 AM,3,false
74,quis turpis,Italian,cheap,bronx,2:51 PM,4,true
75,sit amet consectetuer,Japanese,cheap,brooklyn,2:00 AM,2,false
76,sed interdum,Caribbean,expensive,queens,11:30 PM,1,true
77,adipiscing lorem vitae,Thai,cheap,manhattan,1:27 PM,1,true
78,maecenas leo odio,American,expensive,manhattan,12:46 AM,2,true
79,id,Vietnamese,cheap,manhattan,6:17 PM,4,true
80,dolor morbi,Spanish,expensive,queens,10:16 PM,5,true
81,fermentum justo,African,expensive,queens,6:56 PM,3,true
82,odio elementum,Fusion,cheap,staten_island,2:32 PM,4,true
83,eget eleifend luctus,Middle Eastern,cheap,queens,6:52 AM,3,false
84,purus eu,Vietnamese,medium,manhattan,6:01 PM,5,false
85,vulputate,Vegetarian,medium,queens,2:31 AM,4,true
86,sit amet,Vegan,medium,queens,7:48 PM,4,true
87,viverra diam vitae,Italian,medium,staten_island,5:00 AM,5,true
88,vestibulum ac,Mexican,expensive,staten_island,3:42 PM,2,false
89,amet eros,French,medium,staten_island,10:13 PM,3,false
